place_id,name,business_status,business_address,lat,lng,types,rating,user_ratings_total,keyword,grid_lat,grid_lng
ChIJ61dLKKEpRI4RjSIFSUlKI8o,Circular shop 5,CLOSED_TEMPORARILY,"Cq. 4 #72/53, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",6.2463668,-75.5922262,"convenience_store,food_store,food,point_of_interest,store,establishment",,,convenience_store,,
ChIJ13_0ozQpRI4Rvsy3C40EhiI,Ferreteria El Santos,CLOSED_TEMPORARILY,"Cra. 33 #45-51 a 45-1, Buenos Aires, Medellín, Buenos Aires, Medellín, Antioquia, Colombia",6.239180999999999,-75.5564598,"hardware_store,point_of_interest,store,establishment",3.8,5,hardware_store,,
ChIJ7T8IUZAvRI4RS7y23ZsMYnw,Ferrelectricos San jacinto,CLOSED_TEMPORARILY,"Dg. 57 #57-53, Hermosa Provincia, Bello, Antioquia, Colombia",6.342691899999999,-75.54144769999999,"hardware_store,point_of_interest,store,establishment",4.5,4,hardware_store,,
ChIJGaaByJklRI4RddDzXdWhS1A,Ferretería J & J,CLOSED_TEMPORARILY,"Cl. 50 #4788, Copacabana, Antioquia, Colombia",6.347167799999999,-75.5066609,"hardware_store,point_of_interest,store,establishment",5,2,hardware_store,,
ChIJh1zhf5wpRI4RSjaRKB6L2nY,Asistimos Medellín,CLOSED_TEMPORARILY,"Av. El Colombiano #32-2 a 32-42, Medellín, Belén, Medellín, Antioquia, Colombia",6.2360267,-75.591596,"hardware_store,point_of_interest,store,establishment",,,hardware_store,,
ChIJoQZ1MmYoRI4R4FPT91Yq10A,Ferreteria Multiprisa,CLOSED_TEMPORARILY,"a 20b-21, Via Medellín-Via Sta. Elena #20b-1, El Vergel, Medellín, Buenos Aires, Medellín, Antioquia, Colombia",6.2380935,-75.5478167,"hardware_store,point_of_interest,store,establishment",4.8,6,hardware_store,,
ChIJ4-VHJBSHRo4RfJPRcyhStF0,LICORERA MINAS,CLOSED_TEMPORARILY,"Amagá-Angelópolis #15 a 13, Estación Angelopolis, Amagá, Antioquia, Colombia",6.0673034,-75.6986215,"liquor_store,point_of_interest,store,establishment",,,liquor_store,,
ChIJAx5DXSagRo4R9sN8KDVLCQ4,Vinos La Alborada,CLOSED_TEMPORARILY,"Cl. 27 #31-25, Marinilla, Antioquia, Colombia",6.1717984,-75.33689919999999,"liquor_store,point_of_interest,store,establishment",,,liquor_store,,
ChIJG95JDs8pRI4RULGsy8PMh9Y,Salsamentaria y Licores El Trebol,CLOSED_TEMPORARILY,"Cra. 49 #94-73, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia, Colombia",6.2864009,-75.55614489999999,"liquor_store,point_of_interest,store,establishment",5,1,liquor_store,,
ChIJW4jT0C2CRo4R4mXqZcS7ngs,el Libador,CLOSED_TEMPORARILY,"Cra. 51 #48-00, Villa Paula, Itagüi, Antioquia, Colombia",6.1718737,-75.61146719999999,"liquor_store,point_of_interest,store,establishment",4.4,7,liquor_store,,
ChIJZ7X_tysoRI4ROjyRnnbZKzk,"Licorera ""MI Habana""",CLOSED_TEMPORARILY,"Cl 10 #4250 42- a, El Poblado, Medellín, El Poblado, Medellín, Antioquia, Colombia",6.2104171,-75.5698819,"liquor_store,point_of_interest,store,establishment",,,liquor_store,,
ChIJ_cQcLbCDRo4RtfWC7v1IG38,Always liquor,CLOSED_TEMPORARILY,"Cl. 74 #52-08, Santa Maria II, Itagüi, Medellín, Antioquia, Colombia",6.1847068,-75.5968816,"liquor_store,point_of_interest,store,establishment",,,liquor_store,,
ChIJdS3zVqkpRI4R0J8apZS3Vy0,Licores Eydan,CLOSED_TEMPORARILY,"Cra. 33 #56-21, Medellín, Villa Hermosa, Medellín, Antioquia, Colombia",6.246734099999999,-75.5527212,"liquor_store,point_of_interest,store,establishment",5,3,liquor_store,,
ChIJjWBOzNsdRI4RH7AKzWYGROs,0,CLOSED_TEMPORARILY,"Cr15A N 2-45, Peñol, Antioquia, Colombia",6.215959,-75.2425179,"liquor_store,point_of_interest,store,establishment",5,4,liquor_store,,
ChIJwx2Xf6cpRI4RpRNlo87Or9o,PYC Granizadoras,CLOSED_TEMPORARILY,"Tv. 41 #N° 74-56, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia, Colombia",6.247780199999999,-75.5941809,"liquor_store,wholesaler,point_of_interest,food,store,establishment",3.5,11,liquor_store,,
